token	freq_train	freq_val	freq_test	freq_all
ulang	79	9	1	89
penasaran	79	8	0	87
tiap	79	6	6	91
antre	78	7	0	85
sekeluarga	78	8	0	86
gubernur	78	9	4	91
begini	78	9	1	88
layanan	78	14	5	97
berkumpul	77	12	0	89
an	77	2	3	82
pdip	77	9	0	86
pinggir	77	10	0	87
dah	77	10	4	91
politik	77	6	7	90
bermain	77	8	1	86
30	76	8	0	84
pekan	76	11	1	88
lihat	76	9	4	89
masa	76	10	5	91
kau	76	5	0	81
pula	76	13	3	92
krim	75	5	0	80
belanja	75	5	7	87
hasil	75	8	2	85
selama	75	1	9	85
buntut	74	10	1	85
enggak	74	7	14	95
walau	74	8	1	83
pangsit	74	6	1	81
cantik	74	7	1	82
perut	74	10	1	85
mbak	74	11	1	86
masalah	74	17	10	101
kepada	74	12	7	93
pasar	74	8	2	84
kedai	73	6	1	80
menawarkan	73	9	0	82
diberikan	73	6	0	79
panjang	72	15	0	87
membawa	72	13	1	86
tunggu	72	13	2	87
buah	72	5	6	83
lembut	72	13	1	86
tolong	72	7	4	83
putih	72	8	0	80
bersantai	72	8	0	80
tamu	72	10	1	83
hehe	72	6	0	78
telur	71	6	2	79
%	71	6	6	83
dusun	70	9	0	79
menemukan	70	9	1	80
dll	70	7	1	78
bakal	70	8	12	90
sederhana	70	6	1	77
sajian	69	7	0	76
betah	69	12	0	81
kantor	69	9	4	82
sebuah	69	6	2	77
rica	68	3	0	71
pribadi	68	7	3	78
dibilang	68	7	4	79
kartu	68	7	9	84
nanti	67	9	5	81
arah	67	7	0	74
penutup	67	3	0	70
layak	67	6	2	75
kangkung	67	8	0	75
penggemar	67	7	3	77
bingung	67	6	1	74
keluar	67	8	2	77
merah	67	10	1	78
dpr	67	2	0	69
warga	67	7	3	77
lapar	67	16	2	85
kadang	66	9	6	81
berat	66	9	3	78
wifi	66	10	1	77
beef	66	5	0	71
staf	66	13	4	83
kfc	66	11	5	82
perjalanan	66	12	0	78
sebanding	66	4	1	71
belakang	66	7	2	75
sempat	66	3	2	71
gratis	65	13	9	87
ataupun	65	7	1	73
kolam	65	7	2	74
taman	65	15	0	80
ahok	65	13	4	82
sepi	65	4	0	69
asyik	65	5	1	71
mati	65	8	0	73
lewat	65	17	4	86
aneh	64	8	3	75
pecinta	64	2	1	67
dimakan	64	10	2	76
bangunan	64	15	0	79
dijadikan	63	2	0	65
orang-orang	63	14	4	81
sebaiknya	63	5	0	68
patut	63	6	1	70
terakhir	63	5	1	69
to	63	8	2	73
andalan	63	4	0	67
dibuat	63	3	2	68
nuansa	63	7	0	70
ibu	62	10	3	75
20	62	9	3	74
wangi	62	3	0	65
coklat	62	10	0	72
parah	61	7	4	72
kemudian	61	6	1	68
sby	61	15	0	76
eh	61	7	1	69
foto-foto	61	6	0	67
nomor	61	4	6	71
hidup	61	1	4	66
jual	61	3	2	66
semoga	60	11	15	86
gila	60	14	5	79
lauk	60	9	0	69
dibanding	60	6	2	68
lokal	60	4	2	66
sebelah	60	8	2	70
telah	60	4	7	71
iya	60	8	8	76
sushi	60	9	0	69
memberikan	60	6	9	75
rata-rata	60	11	0	71
berubah	60	6	0	66
lain-lain	60	10	0	70
dijangkau	60	9	0	69
kawasan	60	5	0	65
menjual	59	9	0	68
sebelumnya	59	8	5	72
wow	59	5	2	66
oleh-oleh	59	4	0	63
film	59	7	5	71
sekadar	59	8	4	71
ruang	59	6	0	65
siomay	59	15	0	74
jatuh	59	5	1	65
kpk	59	1	6	66
mas	59	7	3	69
kayu	58	10	0	68
usah	58	10	9	77
mulut	58	3	3	64
kumpul	58	7	0	65
varian	58	4	2	64
bali	58	2	4	64
hitam	58	12	0	70
ketua	58	5	2	65
dijamin	58	2	0	60
riau	58	8	0	66
gede	58	4	2	64
suami	58	7	0	65
menteri	57	14	1	72
say	57	7	0	64
kedua	57	6	2	65
;	57	9	1	67
balik	57	6	5	68
valley	57	8	0	65
s	57	6	1	64
goblok	57	5	0	62
gedung	57	2	0	59
food	57	4	0	61
apabila	57	7	1	65
parkiran	57	6	0	63
bersahabat	57	2	0	59
eropa	57	5	3	65
istri	57	6	1	64
ambil	57	6	1	64
dipesan	56	4	1	61
kunjungan	56	3	3	62
sup	56	6	0	62
tanggal	56	5	7	68
fasilitas	56	4	7	67
tim	56	2	5	63
sambel	56	8	0	64
suki	56	6	0	62
mu	55	6	2	63
akses	55	7	1	63
level	54	8	0	62
beliau	54	2	3	59
lalapan	54	8	0	62
dekorasi	54	9	0	63
saji	53	2	0	55
kesan	53	3	2	58
gelas	53	7	1	61
seorang	53	4	2	59
pengalaman	53	8	3	64
peak	53	11	0	64
setengah	53	7	0	60
campur	53	5	1	59
pantas	53	5	3	61
ridwan	53	5	0	58
malang	53	7	1	61
sawah	53	4	0	57
soto	53	6	2	61
tenderloin	53	7	0	60
berdua	52	12	0	64
loh	52	8	1	61
melalui	52	1	5	58
bangsa	52	5	2	59
bank	52	15	10	77
6	52	4	3	59
masak	52	6	0	58
berupa	52	0	0	52
bu	52	6	8	66
asam	52	12	0	64
kamil	52	5	0	57
burger	52	7	0	59
2019	51	11	4	66
meski	51	12	0	63
berkualitas	51	4	2	57
sayuran	51	5	0	56
pki	51	6	0	57
reservasi	51	9	1	61
telkomsel	51	1	0	52
dibandingkan	51	11	2	64
siap	51	7	1	59
situ	51	11	0	62
digoreng	51	6	0	57
pemerintah	51	4	1	56
sengaja	51	10	0	61
adem	50	8	1	59
telepon	50	2	11	63
tempo	50	6	0	56
terkesan	50	2	0	52
halal	50	9	0	59
membeli	50	9	2	61
bersantap	50	10	0	60
bau	50	12	0	62
tempe	50	12	1	63
doang	50	9	3	62
sari	50	4	0	54
anggota	50	5	1	56
lesehan	50	8	0	58
raya	50	4	3	57
hehehe	50	6	2	58
kentang	50	7	1	58
trans	50	6	0	56
siapa	50	7	1	58
terjun	49	5	0	54
menyukai	49	6	0	55
sungai	49	6	0	55
tadi	49	3	7	59
kendaraan	49	13	0	62
naripan	49	7	1	57
100	49	4	2	55
sedap	49	3	0	52
hutan	49	5	0	54
kosong	49	7	1	57
dijual	49	9	1	59
tentunya	49	8	1	58
soup	49	2	0	51
baswedan	49	3	2	54
tiket	49	6	47	102
takut	49	6	2	57
mending	49	6	9	64
merokok	49	10	0	59
payah	49	7	2	58
untung	49	8	3	60
salmon	48	3	0	51
saos	48	4	1	53
dikasih	48	4	11	63
buruk	48	6	3	57
tiba	48	7	1	56
amat	48	9	2	59
gaya	48	6	0	54
kondisi	48	4	0	52
gojek	48	2	1	51
kering	48	6	0	54
berlokasi	47	2	0	49
ampera	47	5	1	53
tergolong	47	3	0	50
belanda	47	9	0	56
jajanan	47	4	1	52
hot	47	3	1	51
kuliah	47	5	1	53
kangen	47	3	2	52
keras	47	8	0	55
pintu	47	2	0	49
cenderung	47	4	0	51
manusia	46	6	2	54
kingsley	46	3	0	49
macam-macam	46	3	0	49
pertemuan	46	6	0	52
8	46	3	5	54
gerindra	46	6	0	52
masyarakat	46	10	4	60
mencicipi	46	2	0	48
alasan	46	5	7	58
aja	46	3	4	53
lima	46	6	4	56
d	46	8	1	55
lotek	46	6	0	52
yamin	46	3	0	49
melakukan	46	8	9	63
mendukung	46	1	4	51
promo	46	3	14	63
menjadikan	46	3	1	50
alas	45	5	0	50
pks	45	4	2	51
menang	45	5	3	53
penting	45	8	5	58
mengobrol	45	3	0	48
umat	45	8	1	54
kental	45	7	1	53
selamat	45	4	7	56
segala	45	8	0	53
kecap	45	7	0	52
bakmoy	45	5	0	50
sampah	45	9	5	59
nilai	45	2	3	50
muslim	45	5	1	51
papua	45	6	3	54
nyobain	45	18	2	65
potongan	44	10	0	54
ice	44	3	0	47
pemimpin	44	7	7	58
tutup	44	4	4	52
dinikmati	44	5	0	49
disarankan	44	6	1	51
alternatif	44	5	0	49
ngobrol	44	8	2	54
danau	44	9	1	54
warna	44	3	3	50
berani	44	8	0	52
pulsa	44	9	6	59
mah	44	7	4	55
negeri	44	7	3	54
7	44	3	4	51
mohon	43	4	2	49
permai	43	6	0	49
butuh	43	3	3	49
handphone	43	3	5	51
mengenyangkan	43	5	0	48
ditemukan	43	8	0	51
padma	43	6	0	49
cabe	43	6	1	50
lucu	43	5	0	48
tujuan	43	3	1	47
ikut	43	3	4	50
njungi	43	7	1	51
puasa	43	6	1	50
tambah	43	3	1	47
meriah	43	2	0	45
alami	43	3	1	47
via	43	5	5	53
menjelang	43	2	1	46
a	43	2	1	46
non	43	9	0	52
bukit	42	5	0	47
sensasi	42	3	0	45
pacar	42	4	1	47
kebersihan	42	3	0	45
tentang	42	4	4	50
karyawan	42	4	6	52
gagal	42	7	2	51
mirip	42	3	2	47
terbuka	42	6	0	48
in	42	5	4	51
indihome	42	5	0	47
merasakan	42	6	1	49
timbel	42	7	0	49
permainan	42	1	1	44
tugas	42	4	3	49
sok	42	6	2	50
jamur	41	6	0	47
plaza	41	4	0	45
polisi	41	8	1	50
segi	41	1	2	44
meresap	41	3	0	44
potong	41	4	1	46
nkri	41	5	1	47
kampus	41	5	0	46
cek	41	1	8	50
novanto	41	2	0	43
turun	41	5	1	47
__laugh__	41	1	0	42
merayakan	41	3	0	44
pilgub	41	4	1	46
lemah	41	3	1	45
tol	41	3	0	44
cumi	41	7	0	48
cemilan	41	8	2	51
pohon	40	4	1	45
dipakai	40	7	2	49
posisi	40	6	0	46
out	40	4	0	44
sisi	40	4	0	44
tangan	40	3	4	47
tolol	40	2	0	42
entah	40	4	2	46
dibawa	40	5	1	46
wah	40	5	1	46
diberi	40	4	0	44
pvj	40	9	1	50
sepadan	40	3	0	43
dessert	40	3	0	43
cream	40	5	0	45
kamar	40	11	9	60
antrean	40	3	0	43
mengambil	40	2	2	44
sehat	40	6	3	49
15	40	2	0	42
sinyal	40	6	1	47
ayo	40	6	0	46
court	40	2	0	42
dipilih	40	4	0	44
tentu	40	3	1	44
menghabiskan	40	5	1	46
akal	39	5	2	46
ganti	39	9	3	51
seberang	39	5	0	44
terbatas	39	4	1	44
jalanan	39	4	0	43
seluruh	39	0	1	40
internet	39	3	1	43
jne	39	2	4	45
jaringan	39	1	0	40
bahan	39	5	0	44
menyegarkan	39	3	0	42
menengah	39	4	0	43
malas	38	5	0	43
setya	38	2	0	40
malu	38	4	2	44
pakar	38	5	0	43
it	38	8	0	46
bawang	38	6	0	44
melayani	38	2	0	40
mempunyai	38	6	0	44
susu	38	2	4	44
muka	38	5	2	45
rekan	38	4	0	42
setimpal	38	4	1	43
sesat	38	5	0	43
buatan	38	3	1	42
kebun	38	2	2	42
asal	38	5	0	43
lgbt	38	6	0	44
stasiun	38	6	1	45
digunakan	38	2	1	41
samping	38	3	0	41
dunia	38	11	2	51
surabaya	38	0	0	38
maaf	38	4	3	45
penataan	38	2	0	40
martabak	37	0	0	37
rebus	37	2	1	40
apakah	37	5	1	43
bohong	37	4	3	44
korupsi	37	1	2	40
sirloin	37	1	0	38
garing	37	2	0	39
rusak	37	6	2	45
percaya	37	4	0	41
jarang	37	7	0	44
sejenis	37	4	0	41
sabar	37	3	0	40
jawab	37	0	5	42
kiri	37	7	0	44
nah	37	6	1	44
rm	37	6	0	43
istana	37	2	2	41
aroma	37	1	0	38
pukul	37	3	0	40
salad	37	4	0	41
demi	37	1	1	39
mewah	37	6	1	44
indoor	37	4	0	41
kuota	37	2	1	40
bangga	37	6	6	49
yamien	37	3	0	40
mendapat	37	6	0	43
kulit	37	5	2	44
terdiri	37	5	0	42
hawa	37	5	0	42
dihidangkan	36	3	0	39
meminta	36	6	4	46
libur	36	4	2	42
18th	36	5	0	41
api	36	4	1	41
cihampelas	36	1	0	37
50	36	1	4	41
kasir	36	4	0	40
membantu	36	2	6	44
selesai	36	6	1	43
ragam	36	5	0	41
memakai	36	2	3	41
9	36	6	1	43
biaya	35	4	4	43
utara	35	2	1	38
citarasa	35	3	0	38
alias	35	7	0	42
klasik	35	2	1	38
timur	35	4	0	39
jeruk	35	6	1	42
cuaca	35	7	0	42
dukung	35	3	6	44
susi	35	7	3	45
bca	35	7	17	59
jalan-jalan	35	3	1	39
modern	35	6	0	41
pindah	35	2	0	37
pendukung	35	6	0	41
kena	35	2	2	39
dilakukan	35	4	5	44
rapi	35	7	0	42
dicari	35	4	1	40
sabtu	35	6	1	42
pikir	35	10	0	45
outlet	35	2	0	37
24	35	7	1	43
simpang	35	6	0	41
serasa	35	2	0	37
seru	35	6	1	42
mandiri	35	4	1	40
oh	35	6	2	43
ditemani	35	3	0	38
setiabudi	35	5	0	40
calon	34	3	1	38
rupiah	34	4	0	38
kuat	34	5	1	40
terbilang	34	3	0	37
makana	34	1	0	35
bni	34	5	9	48
okelah	34	0	0	34
ciwalk	34	2	0	36
hai	34	5	5	44
mantan	34	4	1	39
lagu	34	4	3	41
toilet	34	4	0	38
karapitan	34	0	0	34
media	34	9	6	49
green	34	2	0	36
gitu	34	3	5	42
golkar	34	1	0	35
music	34	2	0	36
pepes	34	5	0	39
bentuk	34	4	0	38
panggang	34	2	0	36
bisnis	34	2	1	37
ac	34	7	2	43
tepung	34	5	0	39
lampu-lampu	34	3	0	37
kepala	33	4	0	37
sempurna	33	7	1	41
model	33	4	4	41
sebagian	33	3	0	36
aduh	33	4	1	38
matang	33	3	2	38
18	33	4	1	38
kuning	33	5	0	38
heran	33	4	0	37
bicara	33	5	9	47
masing-masing	33	2	1	36
disambut	33	5	0	38
tni	33	1	0	34
terlebih	33	3	0	36
hilang	33	5	6	44
pedesaan	33	4	0	37
tarik	33	4	0	37
suis	33	1	0	34
kader	33	3	0	36
olahan	33	3	0	36
city	33	3	0	36
gampang	33	2	2	37
tanah	33	3	1	37
kalinya	33	6	3	42
menonton	33	4	2	39
sakit	33	5	4	42
galau	33	0	0	33
allah	33	9	1	43
padat	33	4	0	37
menyempatkan	33	0	0	33
tokopedia	32	6	4	42
mengikuti	32	0	3	35
risma	32	7	0	39
kristen	32	5	0	37
sistem	32	1	4	37
ulama	32	0	5	37
butcher	32	1	0	33
tipis	32	2	0	34
sedangkan	32	3	2	37
saung-saung	32	6	0	38
ketinggian	32	2	0	34
telor	32	3	0	35
rumahan	32	9	0	41
kelas	32	7	1	40
ciri	32	3	0	35
aplikasi	32	2	32	66
hemat	32	0	0	32
melewati	32	3	0	35
hukum	32	8	1	41
jumlah	32	5	1	38
aman	32	1	1	34
cah	32	1	0	33
gara-gara	32	3	2	37
rujak	32	1	0	33
kakak	32	1	1	34
servis	32	1	1	34
